device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index,battery_health_percent
38,4500,7.1,11.4,34.8,90.8,7,7.9,14.0,Medium,Poor,4,10.0,4.04,50.0
28,3000,6.8,10.3,35.4,60.6,2,8.6,11.0,Medium,Good,7,10.0,4.23,61.5
14,3000,7.2,11.2,29.4,29.3,4,0.3,10.3,Medium,Good,6,10.0,2.21,76.72
42,3000,5.5,8.3,32.8,62.5,0,1.9,4.9,Medium,Good,8,10.0,3.13,59.97
7,3000,7.6,11.6,38.7,85.4,6,7.9,9.3,High,Good,5,10.0,4.95,67.91
20,4000,7.4,10.1,30.7,20.9,2,7.4,4.1,Medium,Good,8,10.0,3.04,71.65
38,3000,7.8,11.8,32.7,50.2,4,6.8,12.0,Medium,Good,7,10.0,3.48,57.7
18,5000,4.3,7.8,32.5,10.5,6,5.3,11.7,Low,Good,6,10.0,3.31,70.07
22,3000,7.6,11.5,37.4,35.7,0,12.7,10.9,Medium,Good,8,10.0,5.01,66.75
10,4500,4.5,5.9,33.3,78.7,0,5.2,16.2,Medium,Good,8,10.0,3.5,75.29
10,5000,5.2,9.3,30.6,15.1,1,3.5,14.0,Low,Good,8,10.0,2.74,80.77
23,4500,5.1,8.4,30.7,68.0,4,0.7,20.4,Low,Good,6,10.0,2.56,64.76
35,4500,3.5,6.0,29.2,47.2,1,4.1,14.9,Medium,Moderate,8,10.0,2.46,62.71
39,4000,2.0,3.8,31.8,40.8,5,2.4,10.8,Low,Moderate,6,10.0,2.94,62.05
23,4000,7.9,10.8,30.7,24.2,6,3.2,8.5,Low,Moderate,6,10.0,2.73,71.08
2,4500,4.1,6.8,29.5,73.0,7,7.3,2.9,Medium,Moderate,4,10.0,2.77,79.71
21,4500,5.0,8.8,31.1,46.3,6,5.7,16.9,High,Moderate,6,10.0,3.02,68.81
1,3000,4.0,5.6,30.6,50.4,7,5.1,12.9,Low,Good,5,10.0,2.85,78.39
23,5000,5.0,5.6,33.9,33.9,0,2.6,7.7,Medium,Moderate,9,10.0,3.43,72.62
43,3000,4.5,7.1,29.1,14.5,6,4.5,11.5,Low,Good,6,10.0,2.46,58.47
29,4000,8.1,12.1,35.3,51.0,2,15.5,10.7,High,Good,6,10.0,4.72,58.96
37,4000,4.3,4.9,33.6,49.1,2,7.7,9.5,High,Moderate,7,10.0,3.76,57.59
1,3000,8.9,14.0,32.9,68.0,2,2.2,14.6,Medium,Poor,7,10.0,3.17,79.3
20,5000,7.8,12.2,34.9,61.3,4,3.5,2.3,High,Good,6,10.0,3.74,68.81
32,4500,4.6,5.4,32.9,55.3,7,4.2,14.3,Medium,Moderate,5,10.0,3.31,62.98
11,3000,6.1,11.1,33.3,94.4,3,3.1,16.6,Medium,Moderate,7,10.0,3.33,69.36
